	HypoPrepubertalDHT2	HypoPrepubertalDHT3	HypoPrepubertalDHT4	HypoPrepubertalCNT1	HypoPrepubertalCNT2	HypoPrepubertalCNT3	HypoPrepubertalCNT4
Myl1	1	0	1	0	0	0	0
Rpl31-ps14	0	0	0	0	0	0	0
Lancl1	0	0	0	0	2	1	1
Erbb4	0	0	0	0	0	0	1
Ikzf2	0	0	1	0	0	0	0
Atic	1	1	0	1	0	0	0
Fn1	0	0	0	2	0	0	0
D230017M19Rik	0	0	1	0	0	1	0
Pecr	0	0	0	1	2	0	0
Tmem169	0	0	1	0	0	0	0
Xrcc5	0	0	0	0	0	0	0
Gm15843	0	0	0	1	0	0	0
Smarcal1	0	1	0	0	0	0	0
Rpl37a	11	16	14	6	13	14	7
Igfbp2	0	0	0	0	0	3	0
Igfbp5	1	4	0	3	0	1	1
Tns1	1	1	2	3	0	2	0
Rufy4	0	1	0	0	0	0	0
Arpc2	0	1	3	2	0	2	0
Aamp	2	5	5	7	3	6	2
Pnkd	2	4	5	4	5	2	1
Tmbim1	1	2	0	3	2	2	1
Catip	1	0	0	0	0	1	1
Slc11a1	0	1	0	0	0	0	0
Ctdsp1	0	0	0	0	0	0	0
Usp37	0	0	1	0	0	0	0
Cnot9	0	0	0	0	1	0	0
Plcd4	0	0	1	0	0	2	0
Zfp142	0	0	0	0	0	0	0
Bcs1l	2	1	1	1	0	0	1
Rnf25	4	1	0	0	3	3	0
Ttll4	0	0	0	0	0	1	0
Cyp27a1	0	0	0	0	0	0	0
Wnt10a	0	0	0	1	0	1	0
Cdk5r2	1	2	1	0	1	2	0
Ihh	0	0	0	0	0	0	0
Cnppd1	1	2	1	0	1	2	0
Retreg2	1	0	1	0	2	1	1
Zfand2b	0	0	0	0	0	0	0
Atg9a	1	2	0	1	0	0	0
Ankzf1	2	0	0	0	0	0	0
Glb1l	0	0	1	0	1	0	0
Stk16	0	1	3	0	1	0	2
Tuba4a	4	10	6	9	9	10	4
D0jb2	1	4	3	1	4	3	1
Ptprn	1	11	6	1	5	7	4
Resp18	8	19	16	11	34	26	11
Dnpep	2	3	3	1	1	2	0
Des	0	0	0	0	0	0	0
Speg	0	0	1	1	1	0	0
Gmppa	0	1	0	2	3	1	2
Chpf	1	2	3	1	1	2	0
Obsl1	0	1	0	0	1	1	0
Tmem198	1	0	0	0	1	2	0
Inha	2	23	2	1	3	1	1
Stk11ip	0	0	0	0	1	0	0
Slc4a3	0	3	1	1	1	2	1
Epha4	0	1	0	1	0	0	0
Farsb	0	1	0	1	1	0	0
BC035947	0	1	0	0	0	0	0
Acsl3	1	0	0	0	0	0	0
Scg2	3	19	22	9	18	10	4
Wdfy1	0	0	0	0	0	0	0
Mrpl44	0	0	0	1	2	0	0
Serpine2	5	10	4	7	12	6	0
Cul3	0	1	0	0	0	0	0
Dock10	1	0	0	0	0	0	0
Irs1	1	0	0	1	0	1	0
Col4a4	0	0	0	0	0	0	0
Mff	2	3	2	1	1	2	1
Agfg1	0	0	0	0	1	1	0
Sphkap	0	0	0	0	0	0	2
Pid1	0	0	1	1	1	0	0
Dner	0	1	0	3	1	0	0
Trip12	1	0	0	2	1	0	1
Fbxo36	0	1	0	0	0	0	0
Rpl19-ps1	1	1	0	0	3	1	0
A530040E14Rik	0	0	0	0	0	0	0
Sp110	0	0	0	0	0	1	0
Sp100	0	0	0	0	0	0	0
Cab39	0	0	0	0	0	0	0
Itm2c	11	24	15	14	18	23	10
4933407L21Rik	0	0	1	1	0	1	0
Psmd1	3	3	1	1	3	3	1
Armc9	0	0	0	0	0	0	0
Ncl	6	13	5	6	9	5	3
Ptma	7	13	4	4	9	6	0
Pde6d	2	1	0	0	1	0	0
Cops7b	0	0	1	1	0	0	0
Dis3l2	1	1	0	0	0	0	0
Gm6136	2	2	1	2	1	1	0
Ecel1	0	1	1	1	2	3	1
Eif4e2	0	1	0	0	0	2	1
Efhd1	1	0	0	0	0	0	0
Gigyf2	1	0	3	1	0	4	0
Ngef	2	0	0	0	0	1	1
Inpp5d	0	0	0	0	0	0	0
Atg16l1	0	0	0	0	0	0	0
Sag	0	0	0	0	0	0	0
Dgkd	1	4	1	0	1	1	0
Usp40	0	1	0	0	1	0	0
Hjurp	0	3	0	1	2	2	1
Arl4c	1	2	1	1	0	1	1
Sh3bp4	0	0	0	0	1	0	0
Agap1	0	0	0	2	0	0	1
Ackr3	0	1	1	1	0	1	2
Cops8	4	2	0	1	4	0	1
Col6a3	0	1	0	0	0	0	0
Lrrfip1	0	3	0	1	1	0	1
Ramp1	5	6	5	2	5	5	2
Ube2f	1	0	1	2	1	1	0
Scly	0	0	0	1	0	0	0
Ilkap	0	0	0	1	0	0	0
Hes6	0	0	1	0	1	1	1
Per2	0	1	0	0	0	0	0
Traf3ip1	1	1	1	0	0	0	0
Asb1	0	0	0	1	0	0	0
Hdac4	1	0	0	0	1	1	0
Ndufa10	9	6	6	7	7	5	1
Cops9	13	6	6	4	9	9	2
Gpc1	2	0	0	0	0	0	0
Dusp28	0	1	1	0	0	0	0
Rnpepl1	0	0	0	1	0	0	0
Capn10	0	0	0	0	0	0	0
Kif1a	8	11	6	9	9	9	6
Sned1	0	0	0	0	0	0	0
Mterf4	0	0	0	0	0	1	0
Ppp1r7	3	0	1	2	2	2	0
Hdlbp	1	4	1	2	2	0	1
Gm17415	0	0	0	0	0	0	0
Stk25	0	3	0	0	2	0	0
Bok	0	2	1	1	0	1	0
Thap4	0	1	0	0	0	0	0
Atg4b	2	5	2	4	4	2	2
Dtymk	1	5	0	1	2	3	0
Ing5	0	0	0	0	0	0	0
Fam174a	0	0	0	0	0	0	0
Gm15427	2	7	2	2	4	3	1
Gm6430	0	1	0	1	0	1	0
D1Ertd622e	0	1	0	0	1	0	0
Ppip5k2	1	0	0	0	0	1	0
Gin1	0	0	0	0	0	0	0
Pam	0	0	2	0	0	2	0
B230216N24Rik	0	0	0	1	0	0	0
Cdh20	0	0	1	1	0	0	0
Rnf152	0	0	1	0	0	1	0
Gm3608	0	1	0	0	0	0	0
Pign	0	0	1	0	0	0	0
Gm20302	1	0	0	0	1	1	0
2310035C23Rik	0	0	1	1	0	0	0
Gm37566	0	0	0	0	0	0	0
Zcchc2	0	0	0	1	2	2	0
Phlpp1	0	0	0	0	1	0	0
Bcl2	1	0	0	0	0	1	0
Kdsr	1	0	2	1	2	1	0
Vps4b	0	1	0	3	0	1	0
Gm8141	0	0	0	0	0	0	0
Dsel	0	0	0	0	0	0	0
Gm6028	0	2	0	0	0	0	0
Cnt0p5a	0	0	0	0	1	0	0
Tsn	2	1	5	1	2	3	0
Nifk	0	0	0	0	1	1	0
Clasp1	0	1	0	0	1	0	0
Inhbb	0	3	0	0	0	0	0
Ralb	0	0	0	1	1	2	0
Tmem185b	0	0	0	0	1	0	0
Epb41l5	0	1	0	0	1	1	0
Ptpn4	0	0	0	1	0	0	0
Tmem177	0	1	0	0	0	0	1
Dbi	21	17	9	12	24	16	12
3110009E18Rik	0	0	0	0	0	0	1
Steap3	0	0	0	0	0	0	0
C1ql2	0	1	0	0	0	0	0
Insig2	2	0	1	0	2	0	0
Ccdc93	0	0	0	0	0	1	0
Ddx18	0	0	0	0	1	1	0
Dpp10	0	0	0	0	0	0	0
Actr3	1	0	0	0	0	0	0
Slc35f5	0	0	0	0	0	0	0
Lypd1	0	0	0	0	0	0	0
Nckap5	0	1	0	0	0	0	0
Mgat5	0	0	1	0	0	1	0
Gm8451	0	0	0	1	0	0	0
Tmem163	1	0	0	0	0	0	0
Ccnt2	1	2	0	2	0	2	0
Rab3gap1	0	0	1	0	1	2	1
Zranb3	0	1	0	0	0	0	0
Rpl28-ps1	1	0	0	1	0	4	1
R3hdm1	0	0	0	0	1	1	1
Ubxn4	4	3	0	1	2	2	0
Mcm6	0	2	0	0	0	0	0
Dars	0	2	0	0	3	1	0
Cxcr4	0	0	0	0	0	0	0
Cd55	0	0	0	0	1	0	0
Pfkfb2	1	0	0	0	0	0	0
Pigr	0	0	0	2	0	0	0
Fcmr	0	0	0	0	0	0	0
Mapkapk2	0	2	0	1	1	1	0
Eif2d	1	2	0	1	1	0	0
Rassf5	0	0	0	0	0	0	0
Ikbke	0	0	0	0	0	0	0
Srgap2	0	0	0	1	1	1	1
Rab7b	1	0	0	0	0	0	0
Slc41a1	3	2	1	1	0	1	1
Rab29	0	0	0	0	1	0	0
Nucks1	0	2	0	0	1	0	0
Slc45a3	0	0	0	0	0	0	0
Elk4	0	1	1	1	0	0	0
Mfsd4a	0	2	0	0	0	0	1
Cdk18	0	0	0	1	1	0	0
Klhdc8a	0	0	0	0	0	1	0
Tmcc2	1	0	1	0	2	2	0
Dstyk	2	0	0	0	1	0	0
Rbbp5	0	1	0	0	1	0	0
Cntn2	1	3	1	4	1	0	0
Nfasc	0	0	0	1	0	1	1
Lrrn2	0	0	0	0	1	1	0
Mdm4	0	0	0	0	0	0	0
Gm29257	0	0	0	0	0	0	0
Pik3c2b	0	0	0	1	0	0	0
Ppp1r15b	1	1	0	0	0	0	0
Plekha6	0	2	0	1	2	2	1
Gm19461	0	0	0	0	0	0	0
Etnk2	0	1	1	0	0	0	0
Sox13	0	1	0	0	0	0	0
Snrpe	5	1	3	0	1	0	1
Atp2b4	0	0	0	0	0	1	0
Optc	0	0	0	0	0	0	0
Gm15851	0	0	1	0	0	1	0
Prelp	0	1	0	0	0	0	1
Btg2	0	0	0	0	0	0	0
Chil1	0	0	1	0	0	0	0
Adora1	1	4	2	4	0	1	0
Ppfia4	1	3	0	1	1	3	0
Tmem183a	0	1	1	0	0	1	0
Cyb5r1	2	2	0	0	2	0	0
Adipor1	0	2	0	2	0	0	0
Klhl12	0	0	0	0	0	0	1
Rabif	0	0	1	0	0	0	1
Kdm5b	1	1	1	0	0	2	0
Ppp1r12b	1	1	1	1	0	1	0
Ube2t	0	1	0	1	0	0	1
Arl8a	1	3	1	1	1	1	0
Gpr37l1	8	3	2	0	1	4	0
Rnpep	0	0	2	0	1	0	1
Timm17a	3	5	5	2	2	2	1
Lmod1	0	2	0	1	0	0	0
Shisa4	0	3	1	1	1	0	1
Ipo9	1	1	0	1	2	0	1
0v1	1	0	2	2	1	1	1
Csrp1	5	4	0	2	10	2	0
Phlda3	2	2	2	2	3	0	0
Tnnt2	0	2	0	0	0	0	0
Tmem9	2	8	2	3	1	2	1
Kif21b	0	2	0	0	1	0	0
Camsap2	0	0	0	0	0	0	0
Ddx59	0	0	0	0	0	0	0
Zfp281	0	1	0	0	0	0	0
Nr5a2	0	0	0	0	0	0	0
Ptprc	0	0	0	0	0	0	0
Nek7	0	1	0	4	1	0	0
2310009B15Rik	3	0	0	0	1	1	1
Dennd1b	0	0	0	0	1	0	0
Gm43544	0	0	0	0	0	0	0
Zbtb41	1	1	0	0	0	0	0
Cfh	0	6	0	4	1	4	1
Cdc73	0	0	0	0	0	0	0
B3galt2	0	0	0	0	0	0	0
Gm6397	0	0	0	1	0	0	0
Glrx2	0	4	0	2	1	4	0
Trove2	1	1	0	1	1	0	0
Uchl5	0	1	0	2	3	1	2
Rgs2	1	6	1	0	0	1	0
Brinp3	0	0	1	0	2	0	0
Pla2g4a	1	0	0	0	0	0	0
BC003331	0	0	0	0	1	1	0
Tpr	1	0	3	0	0	0	1
Prg4	0	0	0	1	0	0	0
Ivns1abp	1	2	0	0	0	1	0
Swt1	0	0	0	0	2	0	0
Trmt1l	0	1	0	1	0	0	0
Gm37893	0	0	0	0	0	0	0
Rnf2	2	1	0	0	0	0	0
Fam129a	0	0	0	0	0	0	0
Edem3	0	0	1	0	0	0	0
1700025G04Rik	2	0	0	1	0	2	0
Tsen15	2	2	1	1	1	0	0
Rgl1	1	1	0	1	1	0	0
Arpc5	0	5	1	5	3	1	3
Smg7	0	1	0	0	0	0	0
Nm0t2	0	2	1	0	2	0	0
Lamc1	2	1	0	1	0	0	0
Dhx9	1	1	1	0	0	2	1
Npl	0	0	0	0	0	0	0
Rgs8	2	1	1	2	0	0	1
Rgs16	0	6	2	0	1	1	1
R0sel	0	0	0	0	0	0	0
Teddm2	1	0	0	0	0	0	0
Glul	6	8	7	3	4	7	0
Cac01e	1	1	0	0	0	0	2
Ier5	1	0	0	0	0	0	0
Mr1	0	0	0	0	0	0	0
Stx6	0	2	1	2	2	0	0
BC034090	0	0	1	0	0	0	0
Xpr1	0	0	2	0	0	0	0
Acbd6	0	0	0	1	0	0	0
Qsox1	2	0	2	2	0	2	1
Cep350	0	0	0	0	0	0	0
Tor1aip1	0	1	0	0	0	2	0
Tor1aip2	1	1	0	0	0	0	0
Tdrd5	0	0	0	0	0	1	0
Axdnd1	0	0	0	0	0	0	0
Gm2000	1	8	1	2	5	2	3
Soat1	2	3	1	0	2	0	1
Gm10031	0	0	0	1	0	1	0
Abl2	1	2	0	1	0	0	0
Tor3a	0	0	0	1	0	0	0
Fam20b	0	0	1	1	1	0	0
Ralgps2	0	2	0	0	0	0	1
Angptl1	0	1	0	0	0	0	0
Rasal2	0	0	0	0	2	0	0
2810025M15Rik	1	2	2	1	0	0	0
Cryzl2	0	1	0	1	2	0	2
Brinp2	0	0	0	0	0	0	0
Astn1	0	1	0	0	5	0	1
Cop1	0	0	0	0	0	0	0
Tnr	0	0	1	0	0	0	0
4930523C07Rik	0	0	0	2	0	1	1
Mrps14	3	7	3	4	3	4	0
Cacybp	0	2	2	1	5	6	1
Rabgap1l	0	1	1	1	1	0	0
Rc3h1	0	0	1	0	1	0	0
Gm37052	0	0	0	0	0	0	0
Zbtb37	0	1	0	2	0	0	0
Gas5	10	11	7	2	24	15	11
Dars2	0	0	0	0	0	0	0
Cenpl	0	1	0	0	0	0	0
Klhl20	0	0	0	0	0	0	0
Ankrd45	0	0	0	0	0	0	0
Prdx6	7	4	3	3	5	0	0
Gm15429	0	0	1	0	1	0	0
Suco	0	0	0	0	0	0	0
Pigc	0	1	0	0	0	0	1
Dnm3	2	1	1	0	3	2	1
Gm10176	0	0	0	0	0	0	0
Mettl13	0	0	0	0	0	0	0
Vamp4	0	1	0	1	0	0	0
Myoc	0	0	0	0	0	1	1
Prrc2c	0	1	2	1	2	3	1
Fmo1	0	0	0	0	1	0	0
Prrx1	0	0	0	0	0	0	0
Gorab	0	0	1	1	1	0	0
Rpsa-ps1	0	0	0	0	1	0	0
Kifap3	3	1	5	1	6	3	0
Scyl3	0	1	1	0	2	0	0
Sell	0	0	0	1	0	0	0
Ccdc181	0	0	0	0	0	0	0
Blzf1	0	0	0	0	0	0	0
Nme7	1	0	0	0	0	0	0
Atp1b1	10	12	6	5	12	8	2
Dpt	0	1	2	2	0	3	1
Sft2d2	0	1	0	0	0	0	0
Tiprl	1	0	0	1	1	1	1
Dcaf6	0	0	0	0	0	0	0
Mpc2	12	1	5	2	7	6	2
Mpzl1	0	0	1	0	2	0	0
Rcsd1	0	0	0	0	0	0	0
Creg1	2	4	1	0	1	0	0
Pou2f1	0	1	0	0	1	0	0
Ildr2	1	1	0	1	1	0	0
Tada1	0	0	1	1	0	0	1
Pogk	0	0	0	1	0	0	0
Gm16418	0	1	0	2	0	0	0
Uck2	0	1	2	0	0	0	0
Tmco1	1	1	0	3	5	1	1
Aldh9a1	1	1	1	0	0	0	2
Mgst3	2	2	1	3	3	3	3
Rxrg	1	0	0	0	0	0	0
Lmx1a	0	0	0	0	0	0	0
Pbx1	1	2	1	1	1	4	1
Rgs5	2	2	1	1	0	0	1
Rgs4	0	1	4	0	0	0	0
Ccdc190	0	0	0	0	1	0	1
Hsd17b7	0	0	0	0	0	1	0
Ddr2	0	0	0	1	0	1	0
Uap1	0	0	0	0	0	0	0
Uhmk1	1	0	1	1	1	1	0
Nos1ap	1	3	0	0	0	0	0
Olfml2b	0	0	0	1	0	0	0
Atf6	1	0	1	0	1	0	0
Dusp12	0	0	0	0	1	0	0
Gm2962	0	1	0	0	0	1	0
Fcgr2b	0	0	0	0	0	0	0
Fcgr3	0	0	0	0	0	1	0
Cfap126	0	0	0	0	2	0	0
Sdhc	2	2	2	1	6	3	0
Pcp4l1	2	1	1	1	1	0	0
Tomm40l	1	1	1	1	2	0	0
Apoa2	0	0	0	0	0	0	0
Fcer1g	2	3	1	0	0	2	1
Ndufs2	7	6	7	3	2	1	2
Adamts4	0	0	0	0	0	0	1
B4galt3	0	1	1	1	1	1	0
Ppox	1	2	1	1	0	0	0
Usp21	0	0	1	1	0	0	0
Ufc1	1	4	3	4	1	1	1
Rpl27-ps1	0	0	0	0	0	0	0
Gm20045	0	0	0	0	0	0	0
Dedd	2	0	1	0	0	0	0
Nit1	1	1	1	1	0	2	0
Pfdn2	4	7	3	4	7	6	4
Klhdc9	0	1	0	1	0	0	0
Usf1	0	0	1	0	3	0	1
Tstd1	0	0	0	1	0	0	0
F11r	0	1	1	0	0	1	0
Alyref2	0	0	0	0	0	0	0
Ly9	0	0	0	0	0	0	0
Cd48	0	0	0	0	0	0	0
Tma7-ps	0	3	1	2	1	2	0
Vangl2	0	0	0	0	0	0	0
Ncstn	0	2	0	0	0	0	0
Copa	0	2	1	0	2	0	0
Pex19	0	0	1	0	1	2	1
Dcaf8	2	1	0	1	5	1	0
Pea15a	5	9	13	12	15	10	1
Casq1	0	0	1	0	0	0	0
Igsf8	1	3	3	0	2	2	1
Atp1a2	8	14	12	8	10	11	2
Kcnj9	2	1	1	0	0	1	0
Kcnj10	3	3	1	0	2	2	0
Pigm	0	0	0	0	0	1	0
Igsf9	0	0	1	0	0	0	0
Tagln2	0	1	0	0	2	1	0
Cfap45	0	0	1	0	0	0	0
Dusp23	0	0	0	0	0	0	0
Ackr1	0	1	1	0	0	1	0
Cadm3	1	1	1	2	0	4	1
Ifi204	0	0	0	0	2	0	1
Mndal	0	0	0	0	0	0	0
Ifi211	0	0	0	0	0	0	0
Ifi203	0	0	1	0	0	0	0
Ifi205	0	1	0	0	2	0	0
Fmn2	0	0	0	1	0	0	0
Grem2	1	0	0	0	1	0	0
Rgs7	0	0	0	1	0	0	0
Fh1	0	3	0	0	1	3	0
Pld5	0	0	0	1	0	0	0
Cep170	1	1	0	0	0	0	0
Sdccag8	0	0	0	2	1	0	0
Akt3	0	0	0	0	0	0	0
Zbtb18	0	0	0	0	0	0	0
Adss	0	1	0	0	0	0	0
Desi2	0	0	0	0	0	0	0
B230369F24Rik	0	0	0	0	1	0	0
Cox20	2	3	3	3	4	5	2
Hnrnpu	3	4	4	0	1	1	2
Efcab2	1	1	1	0	0	0	0
Kif26b	0	0	0	1	0	0	0
Smyd3	0	0	0	1	1	0	0
Cnst	0	0	0	0	0	0	0
Sccpdh	2	2	1	0	2	0	0
